episode_idx,final_pos_error,is_crash,total_reward,jitter_norm,start_yaw_rad,truncation_reason,disturbance_fired,disturbance_type,disturbance_level,disturbance_magnitude,recovered,recovery_time_steps,wind_steady_state_error_mean
0,0.5115557312965393,True,-19.126816802036373,0.3188829064173994,-0.25314553807287665,tilt,True,kick,5,1.956377788638861,False,,
1,0.01987111195921898,False,-25.524031271926358,0.413421458276461,-0.24421402169144382,timeout,True,wind,4,0.10702622482410237,True,0,0.02363393730483949
2,0.07919349521398544,False,-35.00878970793063,0.36477959879419264,0.0893387346207612,timeout,True,torque,4,7.846155334443761,True,22,
3,0.041548073291778564,False,-20.593363928426868,0.15929815154717575,-0.19106302318180546,timeout,True,wind,3,0.08576062967427178,True,0,0.03504160918916265
4,0.015359442681074142,False,-21.844685853088897,0.27738727213497966,-0.09326896872921608,timeout,True,wind,3,0.080137336765214,True,0,0.024360787061353525
5,0.10945083200931549,True,-17.53434531645026,0.3630475017708967,-0.13646584053239288,tilt,True,torque,4,6.175704104415583,False,,
6,0.02071034535765648,False,-22.81851663164067,0.3605229239276642,-0.049976539802558145,timeout,True,wind,1,0.021815060912382438,True,0,0.0228130302275531
7,0.0311646219342947,False,-31.2799421065972,0.3646170151107249,0.06760087006595139,timeout,True,kick,4,1.2761508618863135,True,21,
8,0.020310649648308754,False,-21.75612773452383,0.31152134737578463,-0.0013494734870266867,timeout,True,torque,3,5.571571401427615,True,0,
9,0.0200568288564682,False,-25.343116008300015,0.37152357339478514,0.24500558011492185,timeout,True,wind,5,0.17454560360982302,True,0,0.0390152197641631
10,0.02831805683672428,False,-27.795489527748533,0.4154117745851606,-0.010478298591398927,timeout,True,kick,2,0.7405641736154924,True,0,
11,0.10034407675266266,True,-14.649327804515112,0.40282000309223404,0.05988569206369648,tilt,True,torque,3,5.43843954565348,False,,
12,0.03202827647328377,False,-27.243191537472434,0.419533591306019,-0.2268805808640553,timeout,True,torque,2,2.8605974638956666,True,0,
13,0.5379170775413513,True,-19.13322259676806,0.36335564562350153,-0.11082975646265117,tilt,True,kick,5,1.777045251086634,False,,
14,0.023094139993190765,False,-22.17723146129956,0.2119553687844871,0.24037249162093405,timeout,True,torque,2,3.1052230210425744,True,0,
15,0.15852312743663788,True,-20.902266359027806,0.41612219631002495,-0.04430481442849818,tilt,True,torque,5,9.039818243229167,False,,
16,0.01380115281790495,False,-24.999337661564862,0.3226481790759037,-0.19539810833023583,timeout,True,kick,5,1.5297320758001693,True,0,
17,0.023050962015986443,False,-19.398527629461036,0.24410212605630016,0.19012929430853104,timeout,True,wind,4,0.12042826022174583,True,0,0.03099347554768125
18,0.12968605756759644,True,-16.85538481793846,0.3512432066228618,0.0879066871930857,tilt,True,torque,5,12.702858308857675,False,,
19,0.5843416452407837,True,-20.53112719547339,0.25865213008257676,-0.05468608392243446,tilt,True,kick,5,1.7807003837751114,False,,
20,0.008627389557659626,False,-23.717326404790192,0.38032232034916647,0.03738264898174881,timeout,True,torque,1,1.7726492012253887,True,0,
21,0.018862174823880196,False,-30.374865237261318,0.21529915176544137,0.05353230757055055,timeout,True,kick,5,1.5361326327649385,True,31,
22,0.07741210609674454,False,-28.706269017586894,0.2889753667812342,0.19557599231307038,timeout,True,kick,3,1.073786580092266,True,10,
23,0.013340839184820652,False,-25.0388330029873,0.34916070819798267,-0.0017950569292966012,timeout,True,kick,1,0.43474668754545476,True,0,
24,0.027280010282993317,False,-23.31926890308676,0.29989095003102084,0.0412378559081405,timeout,True,kick,1,0.46162735036271363,True,0,
25,0.020213892683386803,False,-20.356333085907405,0.2609867867765117,0.05385156085587395,timeout,True,wind,4,0.13654763050829558,True,0,0.03820384995390971
26,0.017302529886364937,False,-29.529862859635347,0.3567679318955837,-0.0075737836242071865,timeout,True,kick,3,1.0632586717615389,True,15,
27,0.02247786521911621,False,-20.597403357198733,0.2649672810048471,-0.07209538853589995,timeout,True,wind,4,0.12165639934520658,True,0,0.030220418702811003
28,0.9243720769882202,True,-25.69159077693852,0.33616545713523843,0.10670197927245278,tilt,True,kick,5,1.990914161435897,False,,
29,0.04487185925245285,False,-21.179508433368817,0.29117641041350234,-0.012489363911595247,timeout,True,wind,2,0.06104705698185619,True,0,0.02324205784437557
30,0.014127761125564575,False,-25.712871416878386,0.359227518631104,-0.012478948878370338,timeout,True,kick,3,0.9271212328911342,True,0,
31,0.024802012369036674,False,-22.156824794907944,0.3113230056190729,-0.2407411765767586,timeout,True,wind,1,0.031380517085267165,True,0,0.018961522933871797
32,0.015641631558537483,False,-24.250179392640693,0.3686852261082488,-0.05671894237237665,timeout,True,wind,4,0.11756915727433227,True,0,0.03549549939731757
33,0.018053065985441208,False,-27.5428047619311,0.28874853158688396,-0.008116334807981962,timeout,True,kick,4,1.1344049744244011,True,22,
34,0.02683856524527073,False,-17.974682714398828,0.1679011991601354,0.23230913463419217,timeout,True,torque,1,1.5121736578377352,True,0,
35,0.019254233688116074,False,-17.05090788748269,0.17347905494613403,-0.2554394815982891,timeout,True,wind,1,0.03433501361127456,True,0,0.016564755820824454
36,0.01050708070397377,False,-18.692862472490347,0.17080353667267043,0.2576227600511665,timeout,True,wind,5,0.1460803161009015,True,0,0.03647836890692512
37,0.03363317623734474,False,-21.463930019607723,0.302440162236926,0.1684898986268648,timeout,True,wind,2,0.05429765265117312,True,0,0.022122835041955113
38,0.007355902809649706,False,-23.27246459084388,0.3435961209685358,-0.20552444261146396,timeout,True,wind,3,0.08183979391212881,True,0,0.033221335352088016
39,0.018917463719844818,False,-20.974658979522516,0.26571705487110736,-0.038368719420089514,timeout,True,wind,5,0.14776109819603173,True,0,0.0348983441789945
40,0.01828010566532612,False,-27.572860394439775,0.20496190665468975,0.16964694977713324,timeout,True,kick,4,1.4347774945716285,True,18,
41,0.049832530319690704,False,-24.24533296537962,0.3475074330791014,-0.03882158180030479,timeout,True,wind,5,0.1480867237590194,True,0,0.04243030174014469
42,0.014923189766705036,False,-25.165622121630584,0.34339494613329435,0.17315111252246268,timeout,True,torque,1,1.5863783547983776,True,0,
43,0.05370102450251579,False,-26.665089239362697,0.3909842421025662,0.20341282911918307,timeout,True,torque,2,2.712729092753143,True,0,
44,0.011999137699604034,False,-25.554585641027952,0.20443757620595948,0.09000809742283372,timeout,True,kick,4,1.1439311544255637,True,20,
45,0.015788471326231956,False,-16.703980224190012,0.1304187019416612,-0.14181585396256843,timeout,True,wind,3,0.09087134058437374,True,0,0.030459164859106144
46,0.010218901559710503,False,-20.52835103088359,0.20571931266808777,-0.012595236562326917,timeout,True,wind,2,0.044684064441720774,True,0,0.019355958397500216
47,0.017346864566206932,False,-23.996309385728626,0.268559438441856,-0.058813645088115124,timeout,True,torque,3,5.753865786658022,True,0,
48,0.015107783488929272,False,-17.84556221614529,0.20203885195678803,-0.16148351928942117,timeout,True,torque,1,1.5059726340651836,True,0,
49,0.116200290620327,True,-15.731938010654083,0.3583825908122398,0.16819385763199723,tilt,True,torque,5,10.176305440673138,False,,
50,0.013431444764137268,False,-28.92205409287654,0.12087035616980212,0.09203161739373511,timeout,True,torque,3,4.774589830103748,False,,
51,0.04140635207295418,False,-17.080422465269333,0.10449208541764167,0.2543483862116774,timeout,True,torque,1,1.8430147145899904,True,0,
52,0.03334658592939377,False,-22.519368395419743,0.32590688277082835,-0.1661314734003798,timeout,True,wind,5,0.17590793740470193,True,0,0.039675680454820395
53,0.019998690113425255,False,-20.10532286605858,0.3146642853820284,-0.031573294165951754,timeout,True,wind,2,0.0550281387096546,True,0,0.020170590359096727
54,0.0244126059114933,False,-29.18487984881643,0.3641109045224754,0.13728611815082414,timeout,True,kick,4,1.2296585503229505,True,17,
55,0.0306777972728014,False,-21.97544738536148,0.278793450636335,0.006361264158100677,timeout,True,kick,1,0.45598895419771635,True,0,
56,0.30742740631103516,True,-12.572932595206263,0.25641439848881836,-0.11473564394746211,tilt,True,kick,4,1.3272769257170507,False,,
57,0.014456233009696007,False,-21.090086122015254,0.2325832961693309,0.18968701903793583,timeout,True,kick,1,0.43467192624502954,True,0,
58,0.03276132419705391,False,-23.169121344404765,0.36717583464858317,-0.22177601003843825,timeout,True,wind,3,0.07497193455856817,True,0,0.024464615201577545
59,0.04076455533504486,False,-21.62106475559083,0.33226267879524407,-0.04336687678955267,timeout,True,torque,2,3.2223489048683485,True,0,
60,0.016738053411245346,False,-20.392834429723987,0.23216870836136003,0.046356425913956334,timeout,True,wind,1,0.02167480647793558,True,0,0.029763165783757966
61,0.016544226557016373,False,-18.552498892589067,0.1552279649185689,0.1092762485505922,timeout,True,wind,2,0.06669595790910113,True,0,0.01900504776276648
62,0.026533672586083412,False,-18.462922548145645,0.1809291862214729,0.04516783526723106,timeout,True,torque,1,1.6692037223800513,True,0,
63,0.11501319706439972,True,-14.535089045336916,0.2443141958906027,-0.06415999721563467,tilt,True,torque,5,9.923688381513108,False,,
64,0.01657654158771038,False,-19.812500311239663,0.24277313177414656,0.13087652461512034,timeout,True,wind,1,0.033786034738603685,True,0,0.030175561368620644
65,0.04034776985645294,False,-26.12677330511161,0.4312522254916993,-0.1351392882929189,timeout,True,kick,1,0.40523360610032433,True,0,
66,0.017006395384669304,False,-40.29616660188216,0.3309806921042786,-0.025631487667986452,timeout,True,kick,5,1.800832052116128,True,49,
67,0.009364143945276737,False,-18.232441590854663,0.19421485325852011,-0.1711170373447858,timeout,True,torque,2,3.7780925882868193,True,0,
68,0.0319567546248436,False,-26.661307159760053,0.38646001216413206,0.1472910924428933,timeout,True,torque,3,4.259747049546269,True,0,
69,0.43324679136276245,True,-16.130828287956234,0.2825681788511322,0.2356901411959348,tilt,True,kick,5,1.5330551292866097,False,,
70,0.007878480479121208,False,-22.51172314140539,0.20902725230506913,-0.13316295342461157,timeout,True,kick,4,1.290359117319828,True,13,
71,0.06221684440970421,False,-21.64542542606112,0.31325406303933434,-0.1436454430254578,timeout,True,wind,2,0.06555572120816841,True,0,0.01986978159984574
72,0.01693148724734783,False,-21.69842282672053,0.2953492419532244,0.17655559542211358,timeout,True,kick,1,0.44364425301863364,True,0,
73,0.04266702011227608,False,-18.749668134338304,0.19301190583139138,0.18768053965528214,timeout,True,wind,1,0.03659782562321898,True,0,0.035072063297654194
74,0.01576949656009674,False,-25.678043821274038,0.40555132504565966,-0.1977278902287743,timeout,True,kick,1,0.42324835005941025,True,0,
75,0.03499468043446541,False,-21.946759632388222,0.30640237009663646,-0.05497110130691635,timeout,True,wind,1,0.029299846003509544,True,0,0.032574637420475484
76,0.033836480230093,False,-23.00042838000261,0.3008581842083509,-0.16615430559072944,timeout,True,torque,4,6.815157007059477,True,0,
77,0.0237803403288126,False,-28.390963876890897,0.41549110422563124,0.18219636755812352,timeout,True,kick,4,1.1989138961553305,True,0,
78,0.2064792811870575,False,-46.17131315480084,0.26443006522658236,-0.09116723431584967,timeout,True,torque,4,8.535429242874605,False,,
79,0.01881595328450203,False,-21.933716884200944,0.3348057802085576,0.2160085320208227,timeout,True,wind,2,0.0459058934428158,True,0,0.021538903614661344
80,0.009702593088150024,False,-17.2617054588665,0.23251027784767822,0.05765320455697842,timeout,True,wind,1,0.022234956306060885,True,0,0.024232201386863987
81,0.022883759811520576,False,-19.977219035845373,0.22120974750619438,0.23077025191417888,timeout,True,wind,4,0.11724531424818391,True,0,0.021681549244870743
82,0.037720561027526855,False,-24.031097984190822,0.2971770431613266,-0.06689444330318078,timeout,True,torque,2,2.818502902367156,True,0,
83,0.01686718314886093,False,-18.94290997282016,0.2656845617285574,-0.22232593652488886,timeout,True,torque,3,4.653695595091618,True,0,
84,0.06153630092740059,False,-24.61365012525605,0.4146292805712214,-0.06754758689067514,timeout,True,wind,2,0.052167490600676485,True,0,0.03531791533653935
85,0.05969208478927612,False,-22.39143160150392,0.24866520600299935,0.0755032146671552,timeout,True,torque,3,4.260140986910167,True,20,
86,0.03232155740261078,False,-23.114725438662774,0.3466535339063501,-0.2447445453178596,timeout,True,kick,1,0.45459574113222123,True,0,
87,0.007563577964901924,False,-20.80027821564513,0.12800455549874087,-0.022735442298301406,timeout,True,wind,4,0.13238078588279684,True,0,0.06939069231351216
88,0.015540401451289654,False,-17.27372052585848,0.21557053122868555,0.18670050079128186,timeout,True,wind,1,0.03264240422877275,True,0,0.020866475913984082
89,0.1114303395152092,False,-31.639926934183976,0.20233367073746772,0.2022007204688397,timeout,True,kick,4,1.3198273620117937,True,30,
90,0.004361964762210846,False,-20.29344628333372,0.29832302814376116,-0.24897726002319778,timeout,True,wind,4,0.11645030777933713,True,0,0.027326395727383594
91,0.03580775484442711,False,-21.773503251952484,0.20993764823488292,0.17929281558800508,timeout,True,torque,5,11.06417391936082,True,0,
92,0.026422029361128807,False,-20.18374596413861,0.3224820825382055,-0.02671296897658304,timeout,True,torque,2,3.0557700893276802,True,0,
93,0.012951597571372986,False,-24.176377212552286,0.3116680000504365,0.22075867844652208,timeout,True,torque,3,5.52863954263532,True,0,
94,0.020579112693667412,False,-20.715217163314968,0.31445311411670407,0.07572414349076406,timeout,True,wind,5,0.15184639078537548,True,0,0.038113810929159324
95,0.11413240432739258,True,-14.19311999147934,0.3047837474208484,-0.2616833061022868,tilt,True,torque,3,5.21600133016088,False,,
96,0.13510069251060486,False,-34.00140289872037,0.2859501519531537,-0.11668909064251676,timeout,True,kick,4,1.318182649462846,True,23,
97,0.08619135618209839,False,-25.446904355816763,0.20579617287496002,0.09464614621994294,timeout,True,kick,3,0.8238654683041204,True,16,
98,0.02223123423755169,False,-19.917612551260753,0.2649730443573756,0.14126183219384242,timeout,True,wind,1,0.033627489236680706,True,0,0.019666576055654635
99,0.013508443720638752,False,-24.49539528291737,0.3898100694142996,0.1267866375771563,timeout,True,torque,2,3.6393738053399445,True,0,
100,0.019548499956727028,False,-26.586052809796158,0.2967629185378272,0.23028326442928643,timeout,True,torque,4,6.675489292364313,True,28,
101,0.06305015087127686,True,-16.579296339675924,0.2986456756594789,-0.06948082330421854,tilt,True,torque,3,5.655248385456345,False,,
102,0.03249663859605789,False,-20.82720340765041,0.3376099475123859,0.09595785973942855,timeout,True,wind,4,0.1256707123256146,True,0,0.02964821901793281
103,0.04283495247364044,False,-23.016972052665825,0.33885953584547224,-0.1754769471616972,timeout,True,torque,2,2.0260153467497704,True,0,
104,0.07118215411901474,False,-18.705124281037154,0.25203856341094366,-0.12172782859598116,timeout,True,torque,1,1.2663990937332907,True,0,
105,0.1717623621225357,False,-37.7964105247919,0.4149534851560379,-0.21214610188706134,timeout,True,kick,3,1.000090089170491,True,17,
106,0.02881798893213272,False,-16.17683101171708,0.2205866853754003,-0.19095163331131973,timeout,True,wind,1,0.03044491865820597,True,0,0.020537668691637614
107,0.02051003836095333,False,-18.21260246755972,0.16308504783979597,-0.10113486151330184,timeout,True,wind,3,0.09386117023499092,True,0,0.047942268728123356
108,0.1161278486251831,True,-14.469870918898021,0.287333455984346,0.04749812255411773,tilt,True,torque,4,7.363785392761377,False,,
109,0.14159581065177917,True,-12.030700964072377,0.25169817565374436,0.18088040415706486,tilt,True,torque,4,8.82581875761939,False,,
110,0.5574256777763367,True,-19.4731154931442,0.2873148443103971,0.22644573303695337,tilt,True,kick,5,1.9000962884467527,False,,
111,0.3806931972503662,True,-19.055227825434663,0.35834580936989524,0.1919128355142296,tilt,True,kick,5,1.871795379256088,False,,
112,0.04926034063100815,False,-19.476532466599632,0.23403467285077553,0.18799071481669088,timeout,True,wind,3,0.08010558686837181,True,0,0.02291739813517779
113,0.03666035458445549,False,-17.12379719862362,0.2300224081184388,0.14024006877225348,timeout,True,wind,3,0.07389462944684752,True,0,0.026074923326571783
114,0.07976305484771729,False,-20.0264206530882,0.2393476716089002,-0.2115367673622645,timeout,True,wind,1,0.03601944790382153,True,0,0.028201409336179494
115,0.024432754144072533,False,-25.141070902852263,0.33930999392854067,0.1913623023428569,timeout,True,kick,3,0.8602892089969847,True,0,
116,0.040393196046352386,False,-18.429515162327913,0.21748969177047062,0.028666876116759166,timeout,True,wind,2,0.06264701015094985,True,0,0.03839227754312257
117,0.05873018875718117,False,-24.789545732992007,0.3117925697301319,0.10040667097268807,timeout,True,torque,5,11.80704694177914,True,0,
118,0.01876906305551529,False,-25.546326828332518,0.42963381503057435,-0.24391661641916426,timeout,True,torque,1,1.8327610351493955,True,0,
119,0.16114486753940582,True,-13.852668517247272,0.34063983439042933,-0.060736522608524746,tilt,True,torque,5,11.187339188450963,False,,
120,0.0577973909676075,False,-21.471211423444878,0.21290038424945257,-0.21875215466705455,timeout,True,wind,4,0.13364884593468443,True,0,0.04780454713230332
121,0.03639071062207222,False,-24.74479819582625,0.3439248466955305,0.1697520010640074,timeout,True,wind,1,0.03579535124406989,True,0,0.023451166180893778
122,0.055608805269002914,False,-25.501021653411303,0.340351473076925,-0.1255616166226869,timeout,True,kick,4,1.3992724480967798,True,0,
123,0.04566288739442825,False,-24.64665759967647,0.392299463986373,0.06103777000689492,timeout,True,wind,1,0.021231970897947858,True,0,0.017861925682518633
124,0.033187929540872574,False,-20.244426327456853,0.3258402946505141,-0.1689059118542366,timeout,True,wind,3,0.07393847833596359,True,0,0.0299552326866736
125,0.044242605566978455,False,-20.102197235130458,0.33999246307387293,-0.13767921059478055,timeout,True,torque,1,1.8776772577642764,True,0,
126,0.0312420092523098,False,-16.390204180941698,0.1366628296941331,0.24053501814924477,timeout,True,kick,1,0.3176735435517013,True,0,
127,0.034961532801389694,False,-17.758779572665162,0.23538392788393844,-0.09226672158653254,timeout,True,wind,3,0.0862006891723397,True,0,0.024356195253009597
128,0.07086972892284393,False,-23.53468104245673,0.3326909323892006,-0.15892768892030795,timeout,True,kick,2,0.5127272065756189,True,0,
129,0.1281946897506714,True,-11.169695809477965,0.2938463550376697,0.2528809668093824,tilt,True,torque,4,6.076398269481623,False,,
130,0.05159612372517586,False,-29.864912001484416,0.3717604117306071,0.22596904590913602,timeout,True,torque,2,3.685756825407897,True,27,
131,0.009600220248103142,False,-20.251390435642715,0.2856501837142091,0.023339018912356124,timeout,True,torque,1,1.3631962240525421,True,0,
132,0.04514405503869057,False,-22.695389531181043,0.3483360151781107,0.04953969636056882,timeout,True,torque,1,1.5922022917999894,True,0,
133,0.06396571546792984,False,-23.396107317182953,0.32766405561761797,0.04382624172549282,timeout,True,wind,5,0.1798562006815652,True,0,0.0400980102053533
134,0.049561306834220886,False,-25.686704978529306,0.4311822148774367,-0.2193713831270329,timeout,True,wind,1,0.0314615452233544,True,0,0.034090094206233816
135,0.021290702745318413,False,-17.378319241199094,0.21458682504483223,-0.189099875185257,timeout,True,wind,5,0.1583434078338006,True,0,0.025784086777518193
136,0.12043410539627075,True,-11.750271913839718,0.2618258072256793,0.08517436971652509,tilt,True,torque,3,4.5993332202763195,False,,
137,0.6372455954551697,True,-23.748819715241876,0.40298908917828813,-0.18292905223744738,tilt,True,kick,5,1.6866494401173844,False,,
138,0.09523549675941467,False,-28.29558103174454,0.4309751058469399,0.06597857165692705,timeout,True,wind,3,0.08166554557650449,True,0,0.03363027269951999
139,0.14129751920700073,False,-24.047297539021855,0.25242615380244854,-0.05828648366283706,timeout,True,torque,3,4.0295400098389,True,0,
140,0.0205664224922657,False,-18.244778583908374,0.2707743796210968,-0.24727575607901353,timeout,True,torque,2,2.895793597077896,True,0,
141,0.04162834212183952,False,-16.68614312410642,0.14635999056375412,0.1565574961008216,timeout,True,wind,5,0.14560881913536225,True,0,0.026921308739110826
142,0.11571674793958664,True,-14.128133183921573,0.3149000149595203,0.15192629943186464,tilt,True,torque,5,9.143122237448631,False,,
143,0.020923037081956863,False,-26.280090144198418,0.432145311323813,-0.20173444756920278,timeout,True,wind,1,0.03437901633086334,True,0,0.019054411980323493
144,0.11856164038181305,True,-10.471405972221024,0.08531175900160164,0.10050424934051799,tilt,True,torque,5,11.368093703074097,False,,
145,0.04691077768802643,False,-23.72096328888581,0.3712845980570599,0.20655495450065398,timeout,True,wind,3,0.07836241470044883,True,0,0.024144583288580178
146,0.1400640308856964,True,-9.440396606190822,0.2309844999820465,-0.18499360917662097,tilt,True,torque,5,11.020916091317432,False,,
147,0.03045215643942356,False,-24.724624008239914,0.39965844932154687,0.07830264773413143,timeout,True,kick,2,0.6760676259940087,True,0,
148,0.1305646449327469,True,-17.242338774857263,0.29777653696874834,-0.087375784459989,tilt,True,torque,5,10.297367493802822,False,,
149,0.44934797286987305,False,-70.81428970710033,0.40133249895520007,-0.22819676067758732,timeout,True,kick,5,1.6143302460233209,False,,
150,0.05786514654755592,False,-24.404954902058623,0.36352155586287477,-0.25932833816856005,timeout,True,wind,3,0.08303279324331968,True,0,0.031969904558112223
151,0.06690805405378342,False,-27.27947863043141,0.4034466337772557,0.0934545856104278,timeout,True,kick,1,0.3284435753980122,True,0,
152,0.36008697748184204,True,-21.28702803397542,0.3649041134182598,0.07141309415630581,tilt,True,kick,5,1.6823560327720768,False,,
153,0.012072131037712097,False,-31.159978370687053,0.27543987080728966,0.16379720404056514,timeout,True,kick,3,1.0592238483442085,True,29,
