type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.0,0.8333333333333334,12.3
kick,4,14,0.21428571428571427,0.9090909090909091,16.4
kick,5,18,0.7777777777777778,0.75,26.666666666666668
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,2.25
torque,3,17,0.29411764705882354,0.9166666666666666,1.8181818181818181
torque,4,9,0.4444444444444444,0.8,12.5
torque,5,14,0.8571428571428571,1.0,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
