type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.16666666666666666,1.0,19.2
kick,4,14,0.42857142857142855,1.0,13.375
kick,5,18,0.5555555555555556,0.5,35.5
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,1.8333333333333333
torque,3,17,0.29411764705882354,0.9166666666666666,0.0
torque,4,9,0.4444444444444444,1.0,5.2
torque,5,14,0.7142857142857143,1.0,5.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
