episode_idx,final_pos_error,is_crash,total_reward,jitter_norm,start_yaw_rad,truncation_reason,disturbance_fired,disturbance_type,disturbance_level,disturbance_magnitude,recovered,recovery_time_steps,wind_steady_state_error_mean
0,0.5528295636177063,True,-19.489617010749548,0.3188829064173994,-0.25314553807287665,tilt,True,kick,5,1.956377788638861,False,,
1,0.010248171165585518,False,-27.289196920174984,0.413421458276461,-0.24421402169144382,timeout,True,wind,4,0.10702622482410237,True,0,0.03899813055371245
2,0.01602090336382389,False,-32.80774569441304,0.36477959879419264,0.0893387346207612,timeout,True,torque,4,7.846155334443761,True,32,
3,0.006806918419897556,False,-18.434561923975863,0.15929815154717575,-0.19106302318180546,timeout,True,wind,3,0.08576062967427178,True,0,0.02902643512158344
4,0.04005710408091545,False,-20.423004774329204,0.27738727213497966,-0.09326896872921608,timeout,True,wind,3,0.080137336765214,True,0,0.017069582516948383
5,0.10205186158418655,True,-17.75361972742218,0.3630475017708967,-0.13646584053239288,tilt,True,torque,4,6.175704104415583,False,,
6,0.008176790550351143,False,-21.744253198277892,0.3605229239276642,-0.049976539802558145,timeout,True,wind,1,0.021815060912382438,True,0,0.017117979703471065
7,0.020168296992778778,False,-30.763607994263946,0.3646170151107249,0.06760087006595139,timeout,True,kick,4,1.2761508618863135,True,14,
8,0.016664987429976463,False,-23.209659932632338,0.31152134737578463,-0.0013494734870266867,timeout,True,torque,3,5.571571401427615,True,0,
9,0.03171556815505028,False,-27.695288417094364,0.37152357339478514,0.24500558011492185,timeout,True,wind,5,0.17454560360982302,True,0,0.06748316008597613
10,0.01012560073286295,False,-28.61139558375312,0.4154117745851606,-0.010478298591398927,timeout,True,kick,2,0.7405641736154924,True,0,
11,0.006967645138502121,False,-27.835565576513257,0.40282000309223404,0.05988569206369648,timeout,True,torque,3,5.43843954565348,True,0,
12,0.028507467359304428,False,-28.44244961481694,0.419533591306019,-0.2268805808640553,timeout,True,torque,2,2.8605974638956666,True,0,
13,0.45531165599823,True,-19.266792047578587,0.36335564562350153,-0.11082975646265117,tilt,True,kick,5,1.777045251086634,False,,
14,0.029563751071691513,False,-20.687214340962374,0.2119553687844871,0.24037249162093405,timeout,True,torque,2,3.1052230210425744,True,0,
15,0.16131280362606049,True,-20.921230348224782,0.41612219631002495,-0.04430481442849818,tilt,True,torque,5,9.039818243229167,False,,
16,0.02502090111374855,False,-26.841870485018397,0.3226481790759037,-0.19539810833023583,timeout,True,kick,5,1.5297320758001693,True,12,
17,0.026846403256058693,False,-20.984645475649145,0.24410212605630016,0.19012929430853104,timeout,True,wind,4,0.12042826022174583,True,0,0.029413713483760755
18,0.09470757842063904,True,-16.200159296796514,0.3512432066228618,0.0879066871930857,tilt,True,torque,5,12.702858308857675,False,,
19,0.8671290278434753,True,-24.55439249372982,0.25865213008257676,-0.05468608392243446,tilt,True,kick,5,1.7807003837751114,False,,
20,0.04038171097636223,False,-25.481912567854934,0.38032232034916647,0.03738264898174881,timeout,True,torque,1,1.7726492012253887,True,0,
21,0.023160763084888458,False,-20.41749538815818,0.21529915176544137,0.05353230757055055,timeout,True,kick,5,1.5361326327649385,True,0,
22,0.32439786195755005,True,-17.787176983869387,0.2889753667812342,0.19557599231307038,tilt,True,kick,3,1.073786580092266,False,,
23,0.01756051555275917,False,-24.620211981112426,0.34916070819798267,-0.0017950569292966012,timeout,True,kick,1,0.43474668754545476,True,0,
24,0.0278712660074234,False,-23.863726675831856,0.29989095003102084,0.0412378559081405,timeout,True,kick,1,0.46162735036271363,True,0,
25,0.016671210527420044,False,-21.316922560301297,0.2609867867765117,0.05385156085587395,timeout,True,wind,4,0.13654763050829558,True,0,0.04161919238977134
26,0.02017856016755104,False,-33.17700721794061,0.3567679318955837,-0.0075737836242071865,timeout,True,kick,3,1.0632586717615389,True,34,
27,0.02363486960530281,False,-19.215073590719435,0.2649672810048471,-0.07209538853589995,timeout,True,wind,4,0.12165639934520658,True,0,0.02779530450546493
28,0.5636302828788757,True,-23.383295251111456,0.33616545713523843,0.10670197927245278,tilt,True,kick,5,1.990914161435897,False,,
29,0.03271889314055443,False,-21.53241637917114,0.29117641041350234,-0.012489363911595247,timeout,True,wind,2,0.06104705698185619,True,0,0.024139397824183107
30,0.033189404755830765,False,-29.288803315186627,0.359227518631104,-0.012478948878370338,timeout,True,kick,3,0.9271212328911342,True,21,
31,0.03281378746032715,False,-21.720847220423625,0.3113230056190729,-0.2407411765767586,timeout,True,wind,1,0.031380517085267165,True,0,0.020592798385769127
