type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,4.166666666666667
kick,3,12,0.08333333333333333,0.8181818181818182,17.666666666666668
kick,4,14,0.35714285714285715,0.8888888888888888,16.5
kick,5,18,0.7222222222222222,1.0,16.4
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,0.0
torque,3,17,0.23529411764705882,1.0,5.846153846153846
torque,4,9,0.4444444444444444,1.0,19.4
torque,5,14,0.7857142857142857,1.0,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
