type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.08333333333333333,0.8181818181818182,12.0
kick,4,14,0.42857142857142855,1.0,15.875
kick,5,18,0.7222222222222222,1.0,25.0
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,5.5
torque,3,17,0.11764705882352941,0.9333333333333333,10.214285714285714
torque,4,9,0.4444444444444444,1.0,19.4
torque,5,14,0.7857142857142857,1.0,11.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
