type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.25,0.8888888888888888,13.125
kick,4,14,0.42857142857142855,0.875,13.142857142857142
kick,5,18,0.6666666666666666,0.6666666666666666,10.5
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,0.0
torque,3,17,0.11764705882352941,0.8666666666666667,10.384615384615385
torque,4,9,0.4444444444444444,1.0,3.8
torque,5,14,0.7857142857142857,1.0,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
