type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.25,1.0,18.555555555555557
kick,4,14,0.5,0.8571428571428571,11.333333333333334
kick,5,18,0.6111111111111112,0.5714285714285714,25.75
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,1.8333333333333333
torque,3,17,0.23529411764705882,0.8461538461538461,7.818181818181818
torque,4,9,0.6666666666666666,1.0,14.333333333333334
torque,5,14,0.7857142857142857,1.0,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
