type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.25,0.8888888888888888,8.875
kick,4,14,0.42857142857142855,0.75,18.5
kick,5,18,0.6666666666666666,0.6666666666666666,23.75
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,4.0
torque,3,17,0.11764705882352941,0.7333333333333333,3.727272727272727
torque,4,9,0.5555555555555556,1.0,21.75
torque,5,14,0.7142857142857143,0.75,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
