type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,2.8333333333333335
kick,3,12,0.3333333333333333,0.875,7.571428571428571
kick,4,14,0.42857142857142855,1.0,21.875
kick,5,18,0.6666666666666666,0.6666666666666666,23.5
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,1.0,3.5833333333333335
torque,3,17,0.11764705882352941,0.9333333333333333,7.642857142857143
torque,4,9,0.3333333333333333,1.0,16.666666666666668
torque,5,14,0.7857142857142857,1.0,7.666666666666667
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
