type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.0,1.0,0.0
kick,3,12,0.25,1.0,18.22222222222222
kick,4,14,0.5714285714285714,1.0,11.5
kick,5,18,0.7777777777777778,0.75,11.0
torque,1,14,0.0,1.0,0.0
torque,2,12,0.0,0.9166666666666666,4.454545454545454
torque,3,17,0.29411764705882354,0.9166666666666666,2.4545454545454546
torque,4,9,0.4444444444444444,1.0,17.0
torque,5,14,0.7857142857142857,1.0,6.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
