type,level,n,crash_rate,recovery_rate,mean_recovery_time_steps
kick,1,12,0.0,1.0,0.0
kick,2,6,0.16666666666666666,1.0,3.0
kick,3,12,0.16666666666666666,0.9,6.0
kick,4,14,0.5714285714285714,1.0,9.666666666666666
kick,5,18,0.7777777777777778,0.75,25.666666666666668
torque,1,14,0.0,1.0,0.0
torque,2,12,0.08333333333333333,1.0,0.0
torque,3,17,0.23529411764705882,0.9230769230769231,10.833333333333334
torque,4,9,0.4444444444444444,1.0,0.0
torque,5,14,0.7857142857142857,0.6666666666666666,0.0
wind,1,19,0.0,1.0,0.0
wind,2,11,0.0,1.0,0.0
wind,3,17,0.0,1.0,0.0
wind,4,15,0.0,1.0,0.0
wind,5,10,0.0,1.0,0.0
