rank,hash_short,model_path,mean_position_error,crash_rate,mean_reward,kick_crash_rate,kick_recovery_rate,kick_mean_recovery_time_steps,kick_n_episodes,torque_crash_rate,torque_recovery_rate,torque_mean_recovery_time_steps,torque_n_episodes,wind_crash_rate,wind_recovery_rate,wind_mean_recovery_time_steps,wind_n_episodes
1,1eb6c55b2cf4,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix_499980_steps.zip,0.09650564319686965,0.19,-22.810423672420463,0.27419354838709675,0.9111111111111111,8.951219512195122,62,0.3181818181818182,0.9555555555555556,2.255813953488372,66,0.0,1.0,0.0,72
2,7de29707c8d6,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_149994_steps.zip,0.1048823213414289,0.185,-22.92399483373297,0.2903225806451613,0.9090909090909091,11.025,62,0.2878787878787879,0.9787234042553191,1.4782608695652173,66,0.0,1.0,0.0,72
3,b22bcb139a9d,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_499980_steps.zip,0.09130812275805511,0.19,-22.145740296676774,0.3064516129032258,0.9302325581395349,9.95,62,0.2878787878787879,1.0,3.6808510638297873,66,0.0,1.0,0.0,72
4,4a68b97b82a4,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_49998_steps.zip,0.09099544540862553,0.185,-22.74486915228835,0.3225806451612903,0.9523809523809523,9.0,62,0.25757575757575757,0.9795918367346939,7.0625,66,0.0,1.0,0.0,72
5,9e312c2a2d44,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_449982_steps.zip,0.0984982072119601,0.19,-22.52815240081788,0.3387096774193548,0.9024390243902439,6.45945945945946,62,0.25757575757575757,0.9591836734693877,3.276595744680851,66,0.0,1.0,0.0,72
6,46ebfc479998,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix_199992_steps.zip,0.1011417386145331,0.21,-23.091504105357718,0.3387096774193548,0.9024390243902439,9.135135135135135,62,0.3181818181818182,0.9555555555555556,3.511627906976744,66,0.0,1.0,0.0,72
7,1fc5d55bdddc,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_299988_steps.zip,0.10931926228571683,0.19,-23.53492454283004,0.3387096774193548,0.8780487804878049,7.694444444444445,62,0.25757575757575757,0.8979591836734694,4.0,66,0.0,1.0,0.0,72
8,3afbb0d78ff2,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix2_249990_steps.zip,0.1032444407348521,0.19,-22.58615523401397,0.3548387096774194,0.925,9.162162162162161,62,0.24242424242424243,0.98,5.571428571428571,66,0.0,1.0,0.0,72
9,0ad91a94474d,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix_399984_steps.zip,0.11161723874974996,0.225,-22.302679522202155,0.4032258064516129,0.972972972972973,7.388888888888889,62,0.30303030303030304,0.9565217391304348,4.068181818181818,66,0.0,1.0,0.0,72
10,0e78e3ec08a9,model/model_weights/checkpoints/hover_stabilize_ppo_seed0_disturbance_3x5_tiltfix3_149994_steps.zip,0.09722852780716494,0.225,-21.59685760945622,0.4032258064516129,0.9459459459459459,5.828571428571428,62,0.30303030303030304,0.9565217391304348,2.9545454545454546,66,0.0,1.0,0.0,72
