disturbance_type_forced,disturbance_level_forced,n,crash_rate,recovery_rate,mean_recovery_time_steps,mean_magnitude,min_magnitude,max_magnitude,mean_peak_tilt_deg,mean_final_pos_error,mean_wind_steady_state_error
kick,1,40,0.0,1.0,0.0,0.3915987807594942,0.30956698955577405,0.4861369436785017,16.49945186689793,0.02246004433836788,
kick,2,40,0.025,0.975,1.3333333333333333,0.6661986077743831,0.5102712813941317,0.7750830841582667,19.277867124081713,0.031773845676798376,
kick,3,40,0.075,0.925,10.108108108108109,0.9653231878893871,0.8044349817934987,1.0952032571974375,22.928127896975976,0.04147076120134443,
kick,4,40,0.375,0.6,15.541666666666666,1.2497932982418474,1.1005839760848892,1.4643643781964382,28.98915168471741,0.16193618822144346,
kick,5,40,0.775,0.2,32.375,1.7448177705838461,1.5106158757720758,1.9932865399109003,37.52223873074361,0.37823956860229374,
torque,1,40,0.0,1.0,0.0,1.5325237577770268,1.0159066059787318,1.9978507315026346,13.901284896368304,0.023126585269346835,
torque,2,40,0.1,0.9,1.4444444444444444,3.054871917078063,2.012118099965274,3.9872641935665047,17.48608201998336,0.04028041426208802,
torque,3,40,0.45,0.55,4.5,5.149728022814421,4.0612466627064325,5.932533296820504,27.64579012144798,0.0911980370990932,
torque,4,40,0.625,0.375,6.0,7.4758828595704205,6.047133726160258,8.994339994347383,37.961805671997496,0.08925430495291949,
torque,5,40,0.85,0.15,5.833333333333333,11.079134807527234,9.239914060568658,12.946947853486776,87.43725508071523,0.12828541714698077,
wind,1,40,0.0,1.0,0.0,0.029857171060840782,0.020616109411020194,0.039861780097440146,13.65441515799326,0.019511076755588875,0.022822250261718486
wind,2,40,0.0,1.0,0.0,0.05250601251137886,0.04007794060562069,0.06967942689100766,13.844428160561298,0.02153693772270344,0.024380833824009945
wind,3,40,0.0,1.0,0.0,0.08516135880061318,0.07051702953410836,0.09669524916593128,14.7226561465417,0.018676243902882562,0.028182060589897445
wind,4,40,0.0,1.0,0.0,0.11817089805595402,0.10188383345715805,0.13984859177912964,13.525091822639705,0.022588773537427186,0.02954469701566268
wind,5,40,0.0,1.0,0.0,0.1592712102747208,0.1420279017611013,0.17937753769199452,14.389381996533734,0.022455738397547977,0.03392332136618885
